system:index,VH_apr_mean,VH_aug_mean,VH_dec_mean,VH_feb_mean,VH_jan_mean,VH_jul_mean,VH_mar_mean,VH_nov_mean,VH_oct_mean,VH_sep_mean,VV/VH_apr_mean,VV/VH_aug_mean,VV/VH_dec_mean,VV/VH_feb_mean,VV/VH_jan_mean,VV/VH_jul_mean,VV/VH_mar_mean,VV/VH_nov_mean,VV/VH_oct_mean,VV/VH_sep_mean,VV_apr_mean,VV_aug_mean,VV_dec_mean,VV_feb_mean,VV_jan_mean,VV_jul_mean,VV_mar_mean,VV_nov_mean,VV_oct_mean,VV_sep_mean,aspect,b0_Blue,b0_EVI2,b0_GCVI,b0_Green,b0_NDRE,b0_NDVI,b0_NIR,b0_Red,b0_RedEdge,b0_SWIR1,b0_SWIR2,b1_Blue,b1_EVI2,b1_GCVI,b1_Green,b1_NDRE,b1_NDVI,b1_NIR,b1_Red,b1_RedEdge,b1_SWIR1,b1_SWIR2,b2_Blue,b2_EVI2,b2_GCVI,b2_Green,b2_NDRE,b2_NDVI,b2_NIR,b2_Red,b2_RedEdge,b2_SWIR1,b2_SWIR2,b3_Blue,b3_EVI2,b3_GCVI,b3_Green,b3_NDRE,b3_NDVI,b3_NIR,b3_Red,b3_RedEdge,b3_SWIR1,b3_SWIR2,b4_Blue,b4_EVI2,b4_GCVI,b4_Green,b4_NDRE,b4_NDVI,b4_NIR,b4_Red,b4_RedEdge,b4_SWIR1,b4_SWIR2,class,date_col,db_crop,elevation,latitude,longitude,n,name,nd_crop,slope,st_crop,target,year,.geo
0000000000000000141f,-21.100798140331587,-24.051406078420182,-17.570014193642518,-18.43503670183207,-17.096425447308448,-17.790606307146206,-17.168356331547912,-16.279385659009133,-19.404318134795048,-22.451948994233064,0.6842618265625698,0.5568290607626661,0.5562008353613334,0.6506298576994709,0.5523134572552709,0.8964438439639755,0.8702216659148382,0.6309810339225974,0.5142414713656859,0.5253814748780001,-14.091956327627893,-13.338500231956473,-9.794340754206285,-11.92587394527503,-9.351811925977927,-15.430879329212502,-14.942202278354966,-9.798134051204755,-10.023931334339125,-11.971468705991985,242.31704711914062,1101.3570556640625,1.5266536474227905,2.4241459369659424,683.7603149414062,0.4944457709789276,0.6362566351890564,3566.204833984375,1080.2137451171875,2819.233154296875,1589.7249755859375,721.2981567382812,43.00938415527344,0.23593415319919586,0.36649808287620544,-108.77349853515625,0.07691726833581924,0.09832463413476944,415.9843444824219,-42.09172058105469,295.4983215332031,-455.7771911621094,-429.2746276855469,115.11076354980469,0.6140583157539368,0.8313536047935486,-366.5054016113281,0.19498085975646973,0.2559114694595337,936.80517578125,-209.39796447753906,633.3568115234375,-957.5836791992188,-790.824462890625,-76.02808380126953,-0.8915250897407532,-1.6451889276504517,374.0294189453125,-0.31472960114479065,-0.37152335047721863,-1792.3541259765625,181.56173706054688,-1208.38525390625,728.2363891601562,793.240966796875,-23.667848587036133,0.36480292677879333,0.7775939106941223,-243.87310791015625,0.1366671323776245,0.1520221084356308,686.084228515625,-194.74607849121094,479.7177734375,-513.1618041992188,-439.9064636230469,corn,15/02/2020,no,362.0,-29.02742,-53.2419,2793,mitos,NA,5.967568397521973,NA,corn,19-20,"{""type"":""Point"",""coordinates"":[-53.24189845139857,-29.02741904581874]}"
00000000000000001420,-19.460240600773144,-21.162257436978788,-18.924997344520563,-18.235063192102118,-20.489888246460684,-18.468748870089936,-21.802437441815812,-14.209753161490745,-15.815015354119783,-23.67546683479845,0.7356100750053263,0.5100526797781082,0.6444223409946019,0.5342939430424433,0.7215257165689613,0.49338204445542033,0.6821815907544684,0.7161589602453883,0.5756967217090224,0.5266256772411714,-14.29699275327426,-10.710534886532168,-12.060702884462396,-9.722654738981925,-14.751982603963455,-9.022760892950124,-14.89930844868338,-10.275746977020804,-9.14071994732599,-12.392441925057952,311.2727355957031,752.5654907226562,2.1804802417755127,4.3925018310546875,147.37606811523438,0.7454614639282227,0.9087342023849487,4388.796875,611.4382934570312,3156.9111328125,1101.472412109375,278.1642761230469,-172.7276611328125,0.3864625096321106,0.7539704442024231,-413.0132751464844,0.15032543241977692,0.16106343269348145,317.6171875,-410.9420166015625,122.56930541992188,-256.4026184082031,-310.5926513671875,-766.9375610351562,1.8764698505401611,3.801164388656616,-1846.3077392578125,0.6387344598770142,0.7820245623588562,1972.9404296875,-1472.2447509765625,972.84521484375,-2394.205322265625,-2172.471435546875,396.1180725097656,-1.4511305093765259,-3.17386794090271,1103.35791015625,-0.5251145958900452,-0.6047602891921997,-1924.9429931640625,892.1596069335938,-975.4793701171875,1683.6041259765625,1629.3115234375,-298.4583740234375,0.523059606552124,1.2487976551055908,-643.5339965820312,0.21871373057365417,0.2179892212152481,409.9023742675781,-689.27880859375,-25.42743492126465,-758.455078125,-597.7462158203125,corn,15/02/2020,no,431.0,-28.63645,-53.72615,2794,mitos,NA,4.210546016693115,NA,corn,19-20,"{""type"":""Point"",""coordinates"":[-53.72614790760069,-28.63644952455366]}"
000000000000000014b6,-17.192127778944563,-24.385305801852127,-17.971950119747458,-20.994912579623474,-18.222846155706787,-18.885477193104055,-15.926591045912433,-16.688314400425526,-12.637447119027403,-29.081715611576797,0.6095445039364772,0.609308552306082,0.6478316980380631,0.5543549138359846,0.7390558873123563,0.691920458798883,0.40258415648423024,0.5655068177910174,0.6746453609048565,0.4606601302993373,-10.133367580723354,-14.356259667618772,-11.584410384772147,-11.640556557361498,-13.399736167285761,-13.34619217069886,-6.474825769477832,-9.505554957034246,-8.364629665263887,-12.50975627209382,286.30950927734375,653.3821411132812,2.382758617401123,5.127795219421387,82.3500747680664,0.8263846635818481,0.9930348992347717,4628.76953125,537.4012451171875,3281.09619140625,643.5166015625,-77.34658813476562,-372.5588684082031,1.1058902740478516,2.443631887435913,-923.733154296875,0.3990437984466553,0.46088698506355286,1206.2420654296875,-783.56787109375,725.8662109375,-1047.3094482421875,-969.6701049804688,-749.478271484375,1.8615168333053589,4.301419734954834,-1625.08349609375,0.643050491809845,0.775801420211792,1927.64453125,-1309.10986328125,859.6976928710938,-2775.521728515625,-2356.355712890625,354.1161804199219,-1.0441803932189941,-2.315079927444458,867.2743530273438,-0.37759122252464294,-0.43516579270362854,-1233.4639892578125,734.6844482421875,-457.4778137207031,1513.0753173828125,1360.8509521484375,-345.9999084472656,0.9694218635559082,2.4522581100463867,-801.8285522460938,0.3691859245300293,0.4040030539035797,1241.1484375,-724.1666870117188,600.5166015625,-1259.488037109375,-1045.408447265625,corn,15/02/2020,yes,399.0,-28.6215,-53.74233,2944,mitos,NA,3.2990736961364746,corn,corn,19-20,"{""type"":""Point"",""coordinates"":[-53.742329985323636,-28.62149815872145]}"
000000000000000003fb,-20.001210080608836,-21.394651431919375,-21.03373282860841,-17.55332915941753,-19.35969837339959,-17.72831240564588,-14.17622484983702,-16.704098734885214,-16.351226339413216,-15.505434890761688,0.738854157128969,0.5891826849747678,0.679318486712995,0.5796284318618962,0.49553656318254413,0.5672040741674262,0.669074370169532,0.6897903400493035,0.3504710794289223,0.6285347260814472,-14.434393555593672,-12.646365991429626,-14.328955875905592,-9.735754199249946,-9.58637378022692,-10.13734994483914,-9.508064697026231,-11.524068127141495,-5.713101485154775,-9.70641321065236,-0.0,1433.62646484375,0.17046678066253662,-0.5121950507164001,1882.58642578125,-0.0030449875630438328,0.07106859982013702,1793.3160400390625,2129.303955078125,1757.55810546875,3896.845703125,2624.360595703125,289.18389892578125,-0.45207950472831726,-0.8751381039619446,585.1307373046875,-0.1457177847623825,-0.18842431902885437,-66.15377807617188,538.8529663085938,22.474485397338867,511.7638854980469,488.8870544433594,576.8645629882812,-1.5736854076385498,-4.088313579559326,1355.0509033203125,-0.5638436675071716,-0.655833899974823,-1986.7379150390625,1146.498046875,-1139.891845703125,1721.97021484375,1615.08056640625,-328.1407470703125,0.603281557559967,1.3930091857910156,-694.0978393554688,0.1954805999994278,0.2514342963695526,374.451416015625,-593.6939697265625,110.82697296142578,-1193.563720703125,-882.5913696289062,326.2773132324219,-0.8690112829208374,-2.464367151260376,742.009033203125,-0.32244619727134705,-0.36215150356292725,-1225.5506591796875,639.2648315429688,-709.3856811523438,898.0748291015625,863.2909545898438,soybean,15/02/2020,no,396.0,-28.92239,-53.78727,1020,mitos,NA,2.7802884578704834,NA,soybean,19-20,"{""type"":""Point"",""coordinates"":[-53.78726880574026,-28.92238937960588]}"
000000000000000003ff,-20.892450611617704,-20.866063348777242,-21.65412129132297,-18.6811624583568,-23.512154098993882,-20.146619343797894,-16.454717744502403,-14.193364320273126,-12.58570315043131,-19.77885306132277,0.5959013786941273,0.7100313539847232,0.574180657204561,0.4787750708289747,0.572465495517982,0.6039577142271937,0.6525986080959547,0.5874113623439238,0.5004132911433157,0.8639774314037652,-12.45473962684695,-14.714147032575484,-11.69589922182972,-8.785106000490394,-13.458589280077979,-12.21834846595303,-10.74513371909526,-8.194961360744749,-6.330663709744608,-17.043133352588573,150.23402848760165,1063.8065185546875,0.03154434263706207,-0.25552448630332947,1552.4339599609375,-0.028482073917984962,0.013157183304429054,1389.93212890625,1698.9017333984375,1263.87890625,3848.051513671875,2852.31640625,-182.69725036621094,-0.6970847845077515,-1.0771387815475464,225.261474609375,-0.21646815538406372,-0.2905294895172119,-968.9515380859375,47.84587478637695,-920.8698120117188,1026.160888671875,1003.4901123046875,-88.87102508544922,-1.69171941280365,-3.6514534950256348,689.388916015625,-0.5859958529472351,-0.7050561308860779,-2519.873046875,390.44140625,-2015.670654296875,2320.475830078125,2311.0771484375,180.09288024902344,0.8520984053611755,1.6211600303649902,-276.0645446777344,0.2784598171710968,0.35511985421180725,1303.01220703125,-95.21397399902344,1077.0687255859375,-1289.5772705078125,-1192.135498046875,147.2806396484375,-0.8080383539199829,-1.7243715524673462,526.059814453125,-0.2759782075881958,-0.3367792069911957,-862.2830200195312,388.264404296875,-731.3529052734375,987.4336547851562,994.4567260742188,soybean,15/02/2020,no,486.0,-29.04341,-53.93081,1024,mitos,NA,2.135937043007883,NA,soybean,19-20,"{""type"":""Point"",""coordinates"":[-53.93081172775174,-29.04340938219639]}"
00000000000000000412,-24.988229363849012,-21.16571039655472,-21.15109767882746,-18.96017708649696,-20.894384597681615,-18.925754110876696,-17.534272987259254,-27.066721533548325,-12.210136532625807,-16.332084354283786,0.6335938930987418,0.6502718148670361,0.6283266142429081,0.45500113937512054,0.6051632962929703,0.536036930910541,0.6520559220092332,0.5732429876778785,0.6245336033049357,0.8424409269776362,-15.705509756723947,-13.65620275072608,-12.958320921405454,-8.664029435503275,-12.322544919292849,-10.21185481585502,-11.387767305419374,-15.446653138331673,-7.614333946992119,-13.801721966997697,189.26942443847656,1159.595703125,0.08646226674318314,-0.36098185181617737,1492.1357421875,-0.011583159677684307,0.03606850281357765,1216.8602294921875,1598.7503662109375,1320.1864013671875,2926.81689453125,2383.35595703125,176.4237518310547,-1.0383790731430054,-1.9243444204330444,561.9741821289062,-0.33037269115448,-0.4327598512172699,-1246.4207763671875,314.5945129394531,-914.650146484375,962.6170043945312,1190.582275390625,219.52926635742188,-1.3197022676467896,-3.2178051471710205,644.981689453125,-0.47512027621269226,-0.5499772429466248,-2092.6142578125,411.69464111328125,-1357.8609619140625,749.2102661132812,1263.4781494140625,-121.10877990722656,0.5299844741821289,1.0506625175476074,-367.01556396484375,0.1741725355386734,0.22088024020195007,558.2401123046875,-255.36508178710938,289.9798583984375,-599.849853515625,-616.9241943359375,264.186279296875,-1.3381000757217407,-2.7593963146209717,793.7328491210938,-0.4482346177101135,-0.5576575398445129,-1739.3277587890625,507.395751953125,-1218.8206787109375,870.6066284179688,1216.4075927734375,soybean,15/02/2020,no,374.0,-28.91901,-53.653,1043,mitos,NA,6.54965877532959,NA,soybean,19-20,"{""type"":""Point"",""coordinates"":[-53.65300081391995,-28.919009381007367]}"
0000000000000000041e,-24.26736065607319,-18.24641439855373,-25.071252688899524,-16.745669019206584,-17.666611827274618,-16.361058799158283,-16.626842491620355,-21.81111145087143,-12.1218125986222,-21.20422237843337,0.5538032215171592,0.8428408757119566,0.4348085923848946,0.5368213600629912,0.5163354441746,0.599753242115587,0.7164314299285527,0.7112498910892823,0.7003198766653067,0.6559311334639314,-13.425586692613154,-15.17815733008473,-10.542340394029077,-8.815919638479832,-9.21953731844534,-9.827159325048155,-12.061826289984293,-14.26664880756828,-8.716917220577072,-13.68539105889699,-0.0,1629.4976806640625,0.007566013839095831,-0.2683412432670593,2158.1142578125,-0.021596357226371765,0.0031669747550040483,1797.9127197265625,2162.43310546875,1957.997314453125,3580.274169921875,2771.797607421875,416.6341857910156,-1.0712071657180786,-1.8201111555099487,953.7608642578125,-0.32635176181793213,-0.44644951820373535,-960.9053344726562,591.8986206054688,-556.5610961914062,1272.346923828125,1331.5986328125,626.90869140625,-1.4654957056045532,-3.0651357173919678,1399.80859375,-0.5046305060386658,-0.6107515096664429,-1820.028564453125,1001.2803344726562,-857.2352294921875,1445.8197021484375,1766.8648681640625,-349.11871337890625,0.3922961950302124,0.45924171805381775,-641.5067749023438,0.11368580907583237,0.16351287066936493,-92.62574768066406,-525.8358764648438,-314.053466796875,-842.5906982421875,-765.9202270507812,589.2254638671875,-1.4607200622558594,-2.874645709991455,1305.0078125,-0.4682199954986572,-0.608760416507721,-1728.5693359375,855.3526000976562,-1040.9608154296875,1268.6241455078125,1494.988037109375,soybean,15/02/2020,no,381.0,-29.25349,-53.35969,1055,mitos,NA,0.0,NA,soybean,19-20,"{""type"":""Point"",""coordinates"":[-53.35969006482639,-29.2534910101274]}"
00000000000000000421,-21.707487542696843,-22.91367708512966,-20.382689777037886,-16.170553287971988,-20.342032065822856,-20.235989826401806,-15.226421347630406,-21.343838124954033,-14.823524741553534,-18.794921250381257,0.740505355151484,0.6319584476700496,0.6358594282673935,0.6507574960736666,0.6949452691871674,0.7267246537203511,0.44282598598233025,0.6053302431403531,0.6586025357563443,0.5549348549039403,-15.867335119593363,-14.28903590566933,-13.056918866830955,-10.326735665378658,-14.115986663488469,-14.546255180761602,-6.7656342042817315,-12.962527103567506,-9.993510374104119,-10.426745987258304,-0.0,1537.0306396484375,-0.04176439717411995,-0.5087432861328125,2009.02294921875,-0.048131514340639114,-0.01739252544939518,1752.8287353515625,2142.395751953125,1821.9298095703125,3680.735107421875,2848.135009765625,285.3006591796875,-0.512502133846283,-0.8118391633033752,569.06982421875,-0.15365946292877197,-0.21361032128334045,-123.4732894897461,465.1103820800781,29.077592849731445,548.259521484375,586.7418823242188,688.0509643554688,-1.5324828624725342,-3.41874361038208,1327.24365234375,-0.5065354704856873,-0.6386874914169312,-1404.4302978515625,1034.00537109375,-703.55712890625,1381.58544921875,1510.27197265625,-439.89453125,0.6783360242843628,1.4176762104034424,-761.5831909179688,0.2065773606300354,0.28271669149398804,330.9851379394531,-608.2012939453125,55.18853759765625,-994.4227294921875,-985.7413940429688,503.57257080078125,-1.0237239599227905,-2.1729865074157715,953.5809326171875,-0.33743178844451904,-0.426657497882843,-809.0355224609375,763.6986694335938,-368.3167724609375,1151.8023681640625,1203.52197265625,soybean,15/02/2020,no,403.0,-28.92873,-53.77551,1058,mitos,NA,0.0,NA,soybean,19-20,"{""type"":""Point"",""coordinates"":[-53.77551015626233,-28.928730221303883]}"
0000000000000000043a,-26.18740220817037,-18.25847330127426,-23.24306519479575,-18.60438302183461,-19.94698199472284,-15.350901225258664,-20.955303921475803,-23.618605379476847,-15.965091913489841,-21.82165935143435,0.7680909651678242,0.7301631007527997,0.6253349947000572,0.6398338955625653,0.6496729255056585,0.7960982272435357,0.5630740965710826,0.6859732564072112,0.6660167699171196,0.691413531108215,-20.16908486708219,-13.440771449294516,-13.891395629361506,-11.95424092673835,-12.952311485078924,-11.992745328091146,-11.806061228287355,-15.004655315822705,-10.593724154929264,-14.480204591445906,322.6199433031779,1287.8197021484375,0.22133082151412964,0.2127397209405899,1635.7408447265625,0.03636112064123154,0.09225354343652725,1814.6373291015625,1817.6343994140625,1734.7952880859375,3562.75830078125,2794.384033203125,192.43214416503906,-0.7864808440208435,-1.2501587867736816,535.873291015625,-0.23324689269065857,-0.3277830183506012,-812.2402954101562,297.87530517578125,-575.0223999023438,761.695556640625,1046.679931640625,229.58200073242188,-1.0099167823791504,-2.016925573348999,638.0361938476562,-0.35958436131477356,-0.4208925664424896,-1374.477294921875,482.7826232910156,-925.7578735351562,967.1321411132812,1362.16650390625,-155.7154998779297,0.2343226820230484,0.33300650119781494,-280.7991638183594,0.06727712601423264,0.09766881167888641,11.784006118774414,-224.6402130126953,-74.774658203125,-341.4515075683594,-420.0716552734375,205.95228576660156,-1.0898531675338745,-1.9713935852050781,691.961181640625,-0.3508826196193695,-0.454201877117157,-1458.37353515625,403.1422424316406,-1059.457275390625,991.343994140625,1330.81005859375,soybean,15/02/2020,no,390.0,-29.23862,-53.41244,1083,mitos,NA,3.4972634001031153,NA,soybean,19-20,"{""type"":""Point"",""coordinates"":[-53.412441230288664,-29.238619908114146]}"
00000000000000000451,-28.097681487632887,-19.40042421014351,-20.824151870362897,-18.146038185186274,-19.75830351842932,-19.22083450333322,-18.080003997928344,-23.823859612496072,-16.7159777143084,-21.29196170440608,0.6040702223121976,0.71840598569548,0.6009211048502241,0.5122550834355865,0.5777771681937948,0.3930366875513711,0.5353542312248135,0.6102238496316859,0.43938434196126674,0.6090395132197886,-17.027860115862634,-13.818191628543197,-12.339115992829164,-9.185512394573365,-11.447022750933161,-7.9775619734482905,-9.55403082548193,-14.541396036758535,-7.365672388516647,-12.903033169343328,90.0,1259.5113525390625,0.164865180850029,0.39070916175842285,1784.4241943359375,0.021378997713327408,0.06872235983610153,1936.82470703125,1963.370849609375,1897.85986328125,3629.816650390625,3193.146728515625,57.97380447387695,-0.5617997646331787,-0.7693937420845032,359.46490478515625,-0.15931077301502228,-0.23414017260074615,-619.9468994140625,154.85800170898438,-486.05877685546875,423.7543029785156,729.8532104492188,100.9197769165039,-1.0203930139541626,-1.7132209539413452,636.743896484375,-0.34227997064590454,-0.4252493977546692,-1349.3878173828125,409.0489501953125,-937.6456298828125,863.1028442382812,1483.3990478515625,-137.4207763671875,0.26514726877212524,0.3580849766731262,-335.09454345703125,0.08228563517332077,0.11050781607627869,49.360504150390625,-285.4561462402344,-52.966373443603516,-501.4134521484375,-685.2658081054688,234.4166717529297,-0.852378249168396,-1.3015042543411255,717.7748413085938,-0.2694222927093506,-0.3552418649196625,-795.005859375,504.99853515625,-517.2245483398438,987.8593139648438,1385.6376953125,soybean,15/02/2020,no,452.0,-29.25951,-53.53353,1106,mitos,NA,3.186101514705591,NA,soybean,19-20,"{""type"":""Point"",""coordinates"":[-53.53352811939498,-29.25951079654955]}"
